"FirstNeg" "SecondNeg" "FirstPos" "SecondPos" "TotalMechs" "TotalNeg" "TotalPos" "FalseMech1" "FalseMech2" "FalseMech3" "FalseMech4" "exRf$y"
"390" 9 NA 166 0 14 1 1 0 0 0 0 "1"
"391" 5 18 0 0 12 2 0 0 1 0 0 "1"
"392" 8 NA 110 0 14 1 1 0 0 5 0 "1"
"393" 9 NA 0 0 12 1 0 1 0 0 0 "1"
"394" 0 0 0 0 12 0 0 0 0 0 0 "1"
"395" 7 8 192 73 55 19 2 2 3 1 27 "-1"
"396" 19 22 155 94 48 16 2 9 12 3 13 "-1"
"397" 5 6 119 0 49 15 1 3 4 8 0 "-1"
"398" 3 4 110 0 49 19 1 1 2 5 0 "-1"
"399" 5 6 172 64 57 15 4 3 4 4 19 "1"
"400" 6 11 0 0 65 27 0 4 7 0 0 "-1"
"401" 7 9 146 0 60 20 1 4 5 5 0 "-1"
"402" 3 11 126 49 37 11 2 1 8 7 15 "1"
"403" 10 15 67 0 42 11 1 2 6 16 0 "-1"
"404" 2 5 0 0 35 13 0 1 4 0 0 "1"
"405" 5 11 116 85 60 16 2 2 4 12 17 "-1"
"406" 1 5 0 0 17 9 0 0 1 0 0 "1"
"407" 9 11 73 72 61 22 2 4 5 19 20 "-1"
"408" 8 13 37 0 53 18 1 3 7 28 0 "-1"
"409" 7 12 0 0 56 20 0 3 6 0 0 "-1"
"410" 11 12 183 0 62 22 1 4 5 2 0 "-1"
"411" 7 8 151 82 59 19 3 2 3 5 17 "-1"
"412" 6 11 0 0 46 16 0 3 7 0 0 "-1"
"413" 5 7 129 0 61 22 1 4 5 17 0 "1"
"414" 10 13 108 55 48 11 2 7 10 14 20 "1"
"415" 8 12 59 55 59 19 3 3 5 23 25 "-1"
"416" 8 11 148 106 59 21 3 3 4 4 10 "-1"
"417" 6 9 164 0 59 20 1 3 5 3 0 "-1"
"418" 4 8 144 24 41 13 2 1 5 8 26 "1"
"419" 7 10 4 0 39 12 1 4 7 36 0 "-1"
"420" 2 9 86 0 37 16 1 0 3 7 0 "-1"
"421" 8 9 79 25 52 16 2 5 6 15 35 "-1"
"422" 7 8 102 0 61 21 1 2 3 18 0 "-1"
"423" 6 10 164 0 59 22 1 4 6 6 0 "-1"
"424" 7 11 119 0 58 21 1 4 6 13 0 "-1"
"425" 20 33 64 55 49 16 2 8 16 17 22 "-1"
"426" 1 6 152 131 63 20 3 0 4 9 15 "1"
"427" 18 25 146 0 46 16 1 8 11 2 0 "-1"
"428" 5 8 0 0 56 19 0 3 5 0 0 "-1"
"429" 6 11 125 0 56 16 1 4 6 9 0 "-1"
"430" 9 10 0 0 56 19 0 4 5 0 0 "-1"
"431" 12 13 61 0 44 8 1 5 6 17 0 "1"
"432" 7 9 162 147 59 20 4 4 5 4 7 "1"
"433" 4 5 100 0 44 13 1 3 4 11 0 "1"
"434" 3 9 0 0 25 7 0 2 4 0 0 "1"
"435" 1 16 51 0 47 11 1 0 10 17 0 "1"
"436" 4 8 167 0 36 11 1 1 4 2 0 "1"
"437" 8 11 167 0 35 12 1 4 6 1 0 "-1"
"438" 9 20 160 0 46 15 1 2 8 1 0 "-1"
"439" 11 15 57 49 47 15 2 4 5 16 19 "-1"
"440" 12 14 167 21 46 12 2 4 6 2 34 "-1"
"441" 3 13 133 19 47 15 2 2 10 5 31 "1"
"442" 5 7 127 17 49 12 2 2 4 8 36 "1"
"443" 12 19 104 60 49 17 3 4 8 11 20 "-1"
"444" 5 6 116 30 42 17 2 2 3 10 22 "1"
